id,Geo Footnote,Geographic Area Name,2017 NAICS code,2017 NAICS Footnote,Meaning of NAICS code,Year,Number of firms,Number of establishments,"Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
0400000US18,null,Indiana,452319,null,All other general merchandise stores,2017,107,1004,1988207,166372,42016,10227,Less than 10%,Less than 10%,30% to less than 40%
0400000US18,null,Indiana,453110,null,Florists,2017,288,303,101017,24478,5957,1648,10% to less than 20%,Less than 10%,Less than 10%
0400000US18,null,Indiana,453210,null,Office supplies and stationery stores,2017,42,91,195405,23346,5848,1197,Less than 10%,Less than 10%,Less than 10%
0400000US18,null,Indiana,453220,null,"Gift, novelty, and souvenir stores",2017,247,329,204667,32423,7631,2359,10% to less than 20%,Less than 10%,20% to less than 30%
0400000US18,null,Indiana,453310,null,Used merchandise stores,2017,385,564,372101,94030,23493,6423,10% to less than 20%,Less than 10%,Less than 10%
0400000US18,null,Indiana,453910,null,Pet and pet supplies stores,2017,95,184,347424,47960,13075,2466,10% to less than 20%,10% to less than 20%,Less than 10%
0400000US18,null,Indiana,453920,null,Art dealers,2017,27,27,11821,2079,475,73,20% to less than 30%,Less than 10%,10% to less than 20%
0400000US18,null,Indiana,453930,null,Manufactured (mobile) home dealers,2017,33,40,89308,8116,1778,195,Less than 10%,Less than 10%,Less than 10%
0400000US18,null,Indiana,453991,null,Tobacco stores,2017,176,321,356009,26927,6528,1538,Less than 10%,Less than 10%,Less than 10%
0400000US18,null,Indiana,453998,null,All other miscellaneous store retailers (except tobacco stores),2017,364,435,441337,64781,14060,2238,10% to less than 20%,Less than 10%,10% to less than 20%
0400000US18,null,Indiana,454110,null,Electronic shopping and mail-order houses,2017,587,602,10435053,731105,160841,18756,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,454210,null,Vending machine operators,2017,84,96,251781,48247,11799,1546,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US18,null,Indiana,454310,null,Fuel dealers,2017,85,169,463939,50795,12118,1198,10% to less than 20%,Less than 10%,Less than 10%
0400000US18,null,Indiana,454390,null,Other direct selling establishments,2017,453,494,612422,90135,22972,2477,10% to less than 20%,10% to less than 20%,10% to less than 20%
