"id","Geo Footnote","Geographic Area Name","2017 NAICS code","2017 NAICS Footnote","Meaning of NAICS code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed"
"0400000US42","null","Pennsylvania","44813","null","Children's and infants' clothing stores","2017","61","276","302133","44522","10747","3412","Less than 10%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","44814","null","Family clothing stores","2017","231","979","3243702","364988","81679","26403","10% to less than 20%","30% to less than 40%","40% to less than 50%"
"0400000US42","null","Pennsylvania","44815","null","Clothing accessories stores","2017","115","269","290203","36679","9403","2167","50% to less than 60%","30% to less than 40%","20% to less than 30%"
"0400000US42","null","Pennsylvania","44819","null","Other clothing stores","2017","290","485","651781","93432","22944","5651","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","44821","null","Shoe stores","2017","230","992","1436854","160607","38462","9963","20% to less than 30%","20% to less than 30%","30% to less than 40%"
"0400000US42","null","Pennsylvania","44831","null","Jewelry stores","2017","606","870","1045181","145993","39302","4680","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","44832","null","Luggage and leather goods stores","2017","10","20","59134","5490","1384","127","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","45111","null","Sporting goods stores","2017","635","815","1551176","170222","38583","8138","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45112","null","Hobby, toy, and game stores","2017","202","347","655570","80698","19403","6205","Less than 10%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45113","null","Sewing, needlework, and piece goods stores","2017","107","152","139071","17621","4149","1475","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","45114","null","Musical instrument and supplies stores","2017","114","147","165956","26759","6225","980","10% to less than 20%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45121","null","Book stores and news dealers","2017","155","346","463509","61953","16058","4000","Less than 10%","30% to less than 40%","30% to less than 40%"
"0400000US42","null","Pennsylvania","45221","null","Department stores","2017","8","200","2879306","400568","102134","21730","10% to less than 20%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","45231","null","General merchandise stores, including warehouse clubs and supercenters","2017","369","2124","20889395","1905055","477393","83265","Less than 10%","10% to less than 20%","30% to less than 40%"
"0400000US42","null","Pennsylvania","45311","null","Florists","2017","559","583","213839","54299","13004","3169","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","45321","null","Office supplies and stationery stores","2017","90","198","448606","50263","12133","2768","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","45322","null","Gift, novelty, and souvenir stores","2017","560","802","496146","82783","19553","5635","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45331","null","Used merchandise stores","2017","516","740","468842","125928","30046","7796","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","45391","null","Pet and pet supplies stores","2017","202","457","789035","102026","25821","5336","Less than 10%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45392","null","Art dealers","2017","113","113","62020","8733","2114","292","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","45393","null","Manufactured (mobile) home dealers","2017","56","67","97735","11096","2514","273","Less than 10%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45399","null","All other miscellaneous store retailers","2017","1127","1488","1342300","162132","34496","6619","10% to less than 20%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45411","null","Electronic shopping and mail-order houses","2017","1229","1262","61728619","1372270","322322","28171","Less than 10%","30% to less than 40%","30% to less than 40%"
"0400000US42","null","Pennsylvania","45421","null","Vending machine operators","2017","141","169","409314","81840","19866","2469","Less than 10%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","45431","null","Fuel dealers","2017","458","620","2851961","271903","69867","6128","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","45439","null","Other direct selling establishments","2017","762","814","746868","136876","33855","3978","10% to less than 20%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","441110","null","New car dealers","2017","943","1090","37308049","2471574","586926","53444","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","441120","null","Used car dealers","2017","1061","1117","3783663","254711","64174","6851","Less than 10%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","441210","null","Recreational vehicle dealers","2017","91","95","660992","61920","12382","1239","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","441222","null","Boat dealers","2017","73","75","149608","15825","2415","410","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","441228","null","Motorcycle, ATV, and all other motor vehicle dealers","2017","261","275","972333","98569","21853","2694","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","441310","null","Automotive parts and accessories stores","2017","699","1431","2020727","330040","86312","13590","20% to less than 30%","20% to less than 30%","40% to less than 50%"
"0400000US42","null","Pennsylvania","441320","null","Tire dealers","2017","353","713","1095006","217657","51878","5837","10% to less than 20%","30% to less than 40%","30% to less than 40%"
"0400000US42","null","Pennsylvania","442110","null","Furniture stores","2017","558","929","2069357","260167","62736","7461","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","442210","null","Floor covering stores","2017","369","448","757637","121500","28894","2947","Less than 10%","10% to less than 20%","Less than 10%"
"0400000US42","null","Pennsylvania","442291","null","Window treatment stores","2017","57","64","46295","6756","1484","209","20% to less than 30%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","442299","null","All other home furnishings stores","2017","272","501","966173","108047","25630","6353","40% to less than 50%","50% to less than 60%","60% to less than 70%"
"0400000US42","null","Pennsylvania","443141","null","Household appliance stores","2017","265","338","558957","89926","22812","2968","20% to less than 30%","30% to less than 40%","10% to less than 20%"
"0400000US42","null","Pennsylvania","443142","null","Electronics stores","2017","469","834","2110352","232437","58186","9017","Less than 10%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","444110","null","Home centers","2017","76","246","6238925","632465","152308","24766","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","444120","null","Paint and wallpaper stores","2017","57","266","337644","38553","8959","1307","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","444130","null","Hardware stores","2017","434","617","1021165","143517","34448","5977","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","444190","null","Other building material dealers","2017","944","1217","3614397","482325","113877","10683","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","444210","null","Outdoor power equipment stores","2017","249","266","572434","71842","15832","1936","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","444220","null","Nursery, garden center, and farm supply stores","2017","442","556","1101540","124287","24486","5140","Less than 10%","20% to less than 30%","30% to less than 40%"
"0400000US42","null","Pennsylvania","445110","null","Supermarkets and other grocery (except convenience) stores","2017","1786","2634","24594922","2559998","638893","123298","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","445120","null","Convenience stores","2017","966","1137","1374814","137576","33277","7604","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","445210","null","Meat markets","2017","306","333","386978","50541","12292","2743","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","445220","null","Fish and seafood markets","2017","81","86","69745","7271","1770","350","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","445230","null","Fruit and vegetable markets","2017","141","154","294629","33294","7509","1574","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","445291","null","Baked goods stores","2017","83","103","60013","12021","2976","689","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","445292","null","Confectionery and nut stores","2017","101","167","80294","12728","3197","968","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","445299","null","All other specialty food stores","2017","229","258","127846","21189","4807","1613","Less than 10%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","445310","null","Beer, wine, and liquor stores","2017","1225","1869","3352946","239335","56689","9450","Less than 10%","Less than 10%","Less than 10%"
