id,Geo Footnote,Geographic Area Name,2017 NAICS code,2017 NAICS Footnote,Meaning of NAICS code,Year,Number of firms,Number of establishments,"Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
0400000US12,null,Florida,45411,null,Electronic shopping and mail-order houses,2017,3698,3751,24003758,1452285,353515,35002,20% to less than 30%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,45421,null,Vending machine operators,2017,325,351,350644,56838,14343,1855,Less than 10%,40% to less than 50%,30% to less than 40%
0400000US12,null,Florida,45431,null,Fuel dealers,2017,108,191,612076,75383,17593,1704,Less than 10%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,45439,null,Other direct selling establishments,2017,1962,2071,1953580,310152,73238,8510,10% to less than 20%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,441110,null,New car dealers,2017,945,1224,67922684,4586285,1135885,82719,10% to less than 20%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,441120,null,Used car dealers,2017,1912,2003,7864711,426445,106855,10365,10% to less than 20%,Less than 10%,Less than 10%
0400000US12,null,Florida,441210,null,Recreational vehicle dealers,2017,118,159,2619603,172423,42078,3323,10% to less than 20%,20% to less than 30%,10% to less than 20%
0400000US12,null,Florida,441222,null,Boat dealers,2017,628,741,3409325,285045,67449,6321,10% to less than 20%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,441228,null,"Motorcycle, ATV, and all other motor vehicle dealers",2017,502,546,1818265,202262,49179,5217,10% to less than 20%,Less than 10%,Less than 10%
0400000US12,null,Florida,441310,null,Automotive parts and accessories stores,2017,1055,2421,3656022,543416,144896,22571,20% to less than 30%,20% to less than 30%,40% to less than 50%
0400000US12,null,Florida,441320,null,Tire dealers,2017,770,1481,1714023,399927,95677,10446,Less than 10%,40% to less than 50%,40% to less than 50%
0400000US12,null,Florida,442110,null,Furniture stores,2017,1072,1826,5251315,682059,171455,17016,Less than 10%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,442210,null,Floor covering stores,2017,679,806,1772056,201915,49181,4955,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,442291,null,Window treatment stores,2017,265,272,172790,30923,7310,874,10% to less than 20%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,442299,null,All other home furnishings stores,2017,595,1032,2316566,237454,55747,13032,30% to less than 40%,50% to less than 60%,60% to less than 70%
0400000US12,null,Florida,443141,null,Household appliance stores,2017,332,480,959092,116939,31105,3720,10% to less than 20%,10% to less than 20%,Less than 10%
0400000US12,null,Florida,443142,null,Electronics stores,2017,1052,1657,7207605,710440,144599,20685,Less than 10%,40% to less than 50%,20% to less than 30%
0400000US12,null,Florida,444110,null,Home centers,2017,D,D,D,D,D,"25,000 to 49,999 employees",D,D,D
0400000US12,null,Florida,444120,null,Paint and wallpaper stores,2017,D,D,D,D,D,"1,000 to 2,499 employees",D,D,D
0400000US12,null,Florida,444130,null,Hardware stores,2017,504,748,1417017,191445,47975,7992,30% to less than 40%,20% to less than 30%,20% to less than 30%
0400000US12,null,Florida,444190,null,Other building material dealers,2017,1639,1840,4899503,648459,154372,14569,10% to less than 20%,Less than 10%,Less than 10%
0400000US12,null,Florida,444210,null,Outdoor power equipment stores,2017,190,207,466674,57497,13042,1470,20% to less than 30%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,444220,null,"Nursery, garden center, and farm supply stores",2017,461,550,1015056,106980,26295,4279,10% to less than 20%,20% to less than 30%,20% to less than 30%
0400000US12,null,Florida,445110,null,Supermarkets and other grocery (except convenience) stores,2017,1999,3693,42231021,4551025,1179385,209494,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,445120,null,Convenience stores,2017,2556,2656,1892851,142487,34996,8789,10% to less than 20%,Less than 10%,Less than 10%
